Return Period,Critical Prob.,groundup (AEP | ALL) (USD),groundup (OEP | ALL) (USD),groundup (AEP | Earthquake) (USD),groundup (OEP | Earthquake) (USD),groundup (AEP | Windstorm) (USD),groundup (OEP | Windstorm) (USD),netprecat (AEP | ALL) (USD),netprecat (OEP | ALL) (USD),netprecat (AEP | Earthquake) (USD),netprecat (OEP | Earthquake) (USD),netprecat (AEP | Windstorm) (USD),netprecat (OEP | Windstorm) (USD)
10000,0.00,82322688.6,81364387.66,82322688.6,81364387.66,816759.2116,816759.2116,71233642.18,71233642.18,71233642.18,71233642.18,0,0
7500,0.00,81364387.66,80194594.79,81364387.66,80194594.79,524544.117,524544.117,71233642.18,71233642.18,71233642.18,71233642.18,0,0
5000,0.00,79658973.03,78268287.86,79658973.03,78268287.86,261394.9024,261394.9024,71233642.18,71233642.18,71233642.18,71233642.18,0,0
2500,0.00,75973246.8,74802688.22,75963407.95,74802688.22,47239.41219,47239.41219,70633118.5,69915109.31,70633118.5,69915109.31,0,0
1000,0.00,71661557.85,71450195.89,71661557.85,71450195.89,2941.772719,2941.772719,66773149.09,66551974.67,66773149.09,66551974.67,0,0
750,0.00,68758375.96,68482014.33,68758375.96,68482014.33,602.3117104,602.3117104,64112418.81,63931534.48,64112418.81,63931534.48,0,0
500,0.00,61478971.25,61118326.18,61478971.25,61118326.18,26.1381449,25.97098281,57355729.62,57001775.53,57355729.62,57001775.53,0,0
250,0.00,43559411.88,43195274.91,43559411.88,43195274.91,0.057647531,0.05689505,40112505.53,39882931.64,40112505.53,39882931.64,0,0
100,0.01,19579696.71,19418866.63,19570106.86,19414216.37,0.056432531,0.056432531,17202045.64,17067439.15,17186185.97,17057334.64,0,0
50,0.02,7233704.293,7160447.152,7215850.028,7145727.527,0.056432531,0.056432531,5408026.262,5373625.502,5396585.249,5365706.902,0,0
10,0.10,3934.87437,3915.14432,3570.455876,3545.116264,0,0,0,0,0,0,0,0
5,0.20,0.056432531,0.056432531,0.056432531,0.056432531,0,0,0,0,0,0,0,0
4,0.25,0,0,0,0,0,0,0,0,0,0,0,0
3,0.33,0,0,0,0,0,0,0,0,0,0,0,0
2,0.50,0,0,0,0,0,0,0,0,0,0,0,0
1,1.00,0,0,0,0,0,0,0,0,0,0,0,0
